"STATION","NAME","DATE","DAPR","DASF","MDPR","MDSF","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WESD","WESF","WT01","WT03","WT04","WT05","WT06","WT11"
"USC00055733","MONUMENT 3 S, CO US","2009-08-01",,,,,"0.05","0.0","0.0","79","43","44",,,,"    1",,,,
"USC00055733","MONUMENT 3 S, CO US","2009-08-02",,,,,"0.00","0.0","0.0","73","43","47",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-08-03",,,,,"0.00","0.0","0.0","86","46","51",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-08-04",,,,,"0.00","0.0","0.0","87","50","75",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-08-05",,,,,"0.00","0.0","0.0","81","48","55",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-08-06",,,,,"0.78","0.0","0.0","86","52","55",,,,"    1",,,,
"USC00055733","MONUMENT 3 S, CO US","2009-08-07",,,,,"0.01","0.0","0.0","79","55","57",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-08-08",,,,,"0.00","0.0","0.0","85","55","61",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-08-09",,,,,"0.00","0.0","0.0","81","49","49",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-08-10",,,,,"0.00","0.0","0.0","77","48","48",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-08-11",,,,,"0.00","0.0","0.0","72","47","49",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-08-12",,,,,"0.00","0.0","0.0","80","47","48",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-08-13",,,,,"0.00","0.0","0.0","85","47","47",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-08-14",,,,,"0.00","0.0","0.0","82","47","60",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-08-15",,,,,"0.13","0.0","0.0","73","50","56",,,,"    1",,,,
"USC00055733","MONUMENT 3 S, CO US","2009-08-16",,,,,"0.04","0.0","0.0","83","42","42",,,,"    1",,,,
"USC00055733","MONUMENT 3 S, CO US","2009-08-17",,,,,"0.00","0.0","0.0","70","39","44",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-08-18",,,,,"0.00","0.0","0.0","75","40","51",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-08-19",,,,,"0.00","0.0","0.0","68","43","45",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-08-20",,,,,"0.00","0.0","0.0","78","42","51",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-08-21",,,,,"0.00","0.0","0.0","77","45","45",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-08-22",,,,,"0.00","0.0","0.0","81","43","48",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-08-23",,,,,"0.00","0.0","0.0","88","46","62",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-08-24",,,,,"0.00","0.0","0.0","89","61","63",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-08-25",,,,,"0.00","0.0","0.0","74","47","47",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-08-26",,,,,"0.00","0.0","0.0","72","47","47",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-08-27",,,,,"0.34","0.0","0.0","78","45","47",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-08-28",,,,,"0.00","0.0","0.0","79","46","55",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-08-29",,,,,"0.00","0.0","0.0","80","44","44",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-08-30",,,,,"0.00","0.0","0.0","76","43","52",,,,"    1",,,,
